hflu;spn;mcat
>lcl|NZ_QWLX01000001.1_cds_WP_005648535.1_12 [gene=lpxH] [locus_tag=FA898_RS00070] [protein=UDP-2,3-diacylglucosamine diphosphatase] [protein_id=WP_005648535.1] [location=12764..13477] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000744551.1_12 [gene=ftsH] [locus_tag=SPNHU17_RS00060] [protein=ATP-dependent zinc metalloprotease FtsH] [protein_id=WP_000744551.1] [location=12370..14328] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003665494.1_12 [locus_tag=MC195_RS00065] [db_xref=GeneID:66584910] [protein=FKBP-type peptidyl-prolyl cis-trans isomerase] [protein_id=WP_003665494.1] [location=13584..14393] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648534.1_13 [locus_tag=FA898_RS00075] [protein=methionine/alanine import family NSS transporter small subunit] [protein_id=WP_005648534.1] [location=complement(13610..13705)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_13 [locus_tag=SPNHU17_RS00095] [protein=transposase] [pseudo=true] [partial=5'] [location=complement(20021..>20825)] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003657084.1_13 [gene=leuE] [locus_tag=MC195_RS00070] [db_xref=GeneID:66584911] [protein=leucine efflux protein LeuE] [protein_id=WP_003657084.1] [location=14563..15213] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648533.1_14 [locus_tag=FA898_RS00080] [protein=sodium-dependent transporter] [protein_id=WP_005648533.1] [location=complement(13707..15233)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000939545.1_14 [locus_tag=SPNHU17_RS00100] [protein=hypothetical protein] [protein_id=WP_000939545.1] [location=21091..21327] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003657083.1_14 [locus_tag=MC195_RS00075] [db_xref=GeneID:66584912] [protein=hypothetical protein] [protein_id=WP_003657083.1] [location=15286..16281] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648532.1_15 [locus_tag=FA898_RS00085] [protein=acetolactate synthase] [protein_id=WP_005648532.1] [location=15480..15869] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000205044.1_15 [locus_tag=SPNHU17_RS00105] [protein=adenylosuccinate synthase] [protein_id=WP_000205044.1] [location=21558..22844] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003663885.1_15 [locus_tag=MC195_RS00080] [db_xref=GeneID:66584913] [protein=rhodanese-like domain-containing protein] [protein_id=WP_003663885.1] [location=complement(16400..16777)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648529.1_16 [gene=ilvD] [locus_tag=FA898_RS00090] [protein=dihydroxy-acid dehydratase] [protein_id=WP_005648529.1] [location=15911..17749] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_050213885.1_16 [locus_tag=SPNHU17_RS00110] [protein=site-specific integrase] [protein_id=WP_050213885.1] [location=complement(23380..24528)] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003663883.1_16 [locus_tag=MC195_RS00085] [db_xref=GeneID:66584914] [protein=DUF302 domain-containing protein] [protein_id=WP_003663883.1] [location=complement(16842..17402)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648527.1_17 [gene=ilvA] [locus_tag=FA898_RS00095] [protein=threonine ammonia-lyase, biosynthetic] [protein_id=WP_005648527.1] [location=17830..19371] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000122589.1_17 [locus_tag=SPNHU17_RS00115] [protein=3'-5' exoribonuclease] [protein_id=WP_000122589.1] [location=complement(24717..25640)] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003657080.1_17 [locus_tag=MC195_RS00090] [db_xref=GeneID:66584915] [protein=acetoin reductase] [protein_id=WP_003657080.1] [location=complement(17577..18371)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005666270.1_18 [gene=dnaE] [locus_tag=FA898_RS00100] [protein=DNA polymerase III subunit alpha] [protein_id=WP_005666270.1] [location=complement(19410..22889)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000136455.1_18 [locus_tag=SPNHU17_RS00120] [protein=hypothetical protein] [protein_id=WP_000136455.1] [location=complement(25653..26036)] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003658680.1_18 [locus_tag=MC195_RS00095] [db_xref=GeneID:66584916] [protein=FAD-dependent oxidoreductase] [protein_id=WP_003658680.1] [location=18871..20214] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648520.1_19 [locus_tag=FA898_RS00105] [protein=phospho-sugar mutase] [protein_id=WP_005648520.1] [location=23129..24784] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000466344.1_19 [locus_tag=SPNHU17_RS00125] [protein=helix-turn-helix transcriptional regulator] [protein_id=WP_000466344.1] [location=complement(26049..26411)] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_081569689.1_19 [locus_tag=MC195_RS00100] [db_xref=GeneID:66584917] [protein=bifunctional nicotinamide-nucleotide adenylyltransferase/Nudix hydroxylase] [protein_id=WP_081569689.1] [location=complement(20318..21346)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005630575.1_20 [gene=secB] [locus_tag=FA898_RS00110] [protein=protein-export chaperone SecB] [protein_id=WP_005630575.1] [location=complement(24946..25455)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000041097.1_20 [locus_tag=SPNHU17_RS00130] [protein=hypothetical protein] [protein_id=WP_000041097.1] [location=complement(26789..27010)] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003657076.1_20 [gene=nfuA] [locus_tag=MC195_RS00105] [db_xref=GeneID:66584918] [protein=Fe-S biogenesis protein NfuA] [protein_id=WP_003657076.1] [location=21587..22198] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648518.1_21 [locus_tag=FA898_RS00115] [protein=rhodanese-like domain-containing protein] [protein_id=WP_005648518.1] [location=complement(25469..25915)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000389576.1_21 [locus_tag=SPNHU17_RS00135] [protein=hypothetical protein] [protein_id=WP_000389576.1] [location=27129..27275] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_063454106.1_21 [locus_tag=MC195_RS00110] [db_xref=GeneID:66584919] [protein=adenosine kinase] [protein_id=WP_063454106.1] [location=complement(22317..23336)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005655513.1_22 [locus_tag=FA898_RS00120] [protein=anaerobic C4-dicarboxylate transporter] [protein_id=WP_005655513.1] [location=26163..27485] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000032094.1_22 [locus_tag=SPNHU17_RS00140] [protein=helix-turn-helix transcriptional regulator] [protein_id=WP_000032094.1] [location=27287..27490] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003658675.1_22 [locus_tag=MC195_RS00115] [db_xref=GeneID:66584920] [protein=universal stress protein] [protein_id=WP_003658675.1] [location=complement(23445..23894)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_014551080.1_23 [locus_tag=FA898_RS00125] [protein=NAD(P)/FAD-dependent oxidoreductase] [protein_id=WP_014551080.1] [location=27689..29023] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_208912179.1_23 [locus_tag=SPNHU17_RS00145] [protein=ORF6C domain-containing protein] [protein_id=WP_208912179.1] [location=27633..28349] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_081569690.1_23 [locus_tag=MC195_RS00120] [db_xref=GeneID:66584921] [protein=insulinase family protein] [protein_id=WP_081569690.1] [location=24167..27136] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005663172.1_24 [gene=plsB] [locus_tag=FA898_RS00130] [protein=glycerol-3-phosphate 1-O-acyltransferase PlsB] [protein_id=WP_005663172.1] [location=complement(29103..31535)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000370959.1_24 [locus_tag=SPNHU17_RS00150] [protein=hypothetical protein] [protein_id=WP_000370959.1] [location=28362..28619] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_081569691.1_24 [locus_tag=MC195_RS00125] [db_xref=GeneID:66584922] [protein=NAD(P)/FAD-dependent oxidoreductase] [protein_id=WP_081569691.1] [location=complement(27242..28462)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648504.1_25 [gene=lexA] [locus_tag=FA898_RS00135] [protein=transcriptional repressor LexA] [protein_id=WP_005648504.1] [location=31790..32413] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000462826.1_25 [locus_tag=SPNHU17_RS00155] [protein=hypothetical protein] [protein_id=WP_000462826.1] [location=28705..29025] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_179853443.1_25 [gene=pgsA] [locus_tag=MC195_RS00130] [db_xref=GeneID:66584923] [protein=CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase] [protein_id=WP_179853443.1] [location=28647..29279] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648501.1_26 [gene=dapF] [locus_tag=FA898_RS00140] [protein=diaminopimelate epimerase] [protein_id=WP_005648501.1] [location=32556..33380] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000391804.1_26 [locus_tag=SPNHU17_RS00160] [protein=hypothetical protein] [protein_id=WP_000391804.1] [location=29041..29340] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_081569692.1_26 [gene=pnuC] [locus_tag=MC195_RS00135] [db_xref=GeneID:66584924] [protein=nicotinamide riboside transporter PnuC] [protein_id=WP_081569692.1] [location=complement(29509..30270)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_112070955.1_27 [gene=tpx] [locus_tag=FA898_RS00145] [protein=thiol peroxidase] [protein_id=WP_112070955.1] [location=complement(33600..34097)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_001185498.1_27 [locus_tag=SPNHU17_RS00165] [protein=phage replisome organizer N-terminal domain-containing protein] [protein_id=WP_001185498.1] [location=29331..30119] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_081569693.1_27 [gene=nadR] [locus_tag=MC195_RS00140] [db_xref=GeneID:66584925] [protein=multifunctional transcriptional regulator/nicotinamide-nucleotide adenylyltransferase/ribosylnicotinamide kinase NadR] [protein_id=WP_081569693.1] [location=complement(30285..31340)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_28 [locus_tag=FA898_RS00150] [protein=DUF1440 domain-containing protein] [pseudo=true] [partial=3'] [location=complement(<34160..34402)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000511766.1_28 [locus_tag=SPNHU17_RS00170] [protein=hypothetical protein] [protein_id=WP_000511766.1] [location=30107..30265] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003657061.1_28 [locus_tag=MC195_RS00145] [db_xref=GeneID:66584926] [protein=PspC domain-containing protein] [protein_id=WP_003657061.1] [location=31680..31925] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_136428987.1_29 [gene=purL] [locus_tag=FA898_RS00155] [protein=phosphoribosylformylglycinamidine synthase] [protein_id=WP_136428987.1] [location=34744..38637] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000228203.1_29 [locus_tag=SPNHU17_RS00175] [protein=ATP-binding protein] [protein_id=WP_000228203.1] [location=30259..31029] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_004463442.1_29 [gene=glyQ] [locus_tag=MC195_RS00150] [db_xref=GeneID:66584927] [protein=glycine--tRNA ligase subunit alpha] [protein_id=WP_004463442.1] [location=32099..33037] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_136429708.1_30 [locus_tag=FA898_RS00160] [protein=hypothetical protein] [protein_id=WP_136429708.1] [location=38833..39138] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000470343.1_30 [locus_tag=SPNHU17_RS00180] [protein=hypothetical protein] [protein_id=WP_000470343.1] [location=31044..31238] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_081569694.1_30 [gene=glyS] [locus_tag=MC195_RS00155] [db_xref=GeneID:66584928] [protein=glycine--tRNA ligase subunit beta] [protein_id=WP_081569694.1] [location=33259..35337] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_042611804.1_31 [locus_tag=FA898_RS00165] [protein=glycosyltransferase family 25 protein] [protein_id=WP_042611804.1] [location=39152..39895] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_208912180.1_31 [locus_tag=SPNHU17_RS00185] [protein=hypothetical protein] [protein_id=WP_208912180.1] [location=31238..31474] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003657038.1_31 [gene=aat] [locus_tag=MC195_RS00165] [db_xref=GeneID:66584930] [protein=leucyl/phenylalanyl-tRNA--protein transferase] [protein_id=WP_003657038.1] [location=complement(35582..36349)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_032826692.1_32 [locus_tag=FA898_RS00170] [protein=divergent polysaccharide deacetylase family protein] [protein_id=WP_032826692.1] [location=complement(39956..40798)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_001105096.1_32 [locus_tag=SPNHU17_RS00190] [protein=hypothetical protein] [protein_id=WP_001105096.1] [location=31478..31669] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003657037.1_32 [locus_tag=MC195_RS00170] [db_xref=GeneID:66584931] [protein=serine hydroxymethyltransferase] [protein_id=WP_003657037.1] [location=complement(36436..37698)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_136428989.1_33 [locus_tag=FA898_RS00175] [protein=murein hydrolase activator EnvC] [protein_id=WP_136428989.1] [location=complement(40798..42030)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_208912248.1_33 [locus_tag=SPNHU17_RS00195] [protein=hypothetical protein] [protein_id=WP_208912248.1] [location=31659..31886] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003657036.1_33 [locus_tag=MC195_RS00175] [db_xref=GeneID:66584932] [protein=chorismate lyase] [protein_id=WP_003657036.1] [location=complement(37834..38316)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005690343.1_34 [locus_tag=FA898_RS00180] [protein=2,3-diphosphoglycerate-dependent phosphoglycerate mutase] [protein_id=WP_005690343.1] [location=42206..42889] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000516820.1_34 [locus_tag=SPNHU17_RS00200] [protein=hypothetical protein] [protein_id=WP_000516820.1] [location=31969..32433] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003670238.1_34 [locus_tag=MC195_RS00180] [db_xref=GeneID:66584933] [protein=isocitrate lyase] [protein_id=WP_003670238.1] [location=38740..40338] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005625828.1_35 [gene=rpmE] [locus_tag=FA898_RS00185] [protein=50S ribosomal protein L31] [protein_id=WP_005625828.1] [location=complement(42967..43179)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_001028147.1_35 [locus_tag=SPNHU17_RS00205] [protein=site-specific integrase] [protein_id=WP_001028147.1] [location=32542..33084] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_081569695.1_35 [locus_tag=MC195_RS00185] [db_xref=GeneID:66584934] [protein=malate synthase G] [protein_id=WP_081569695.1] [location=40496..42658] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_048942499.1_36 [gene=mutY] [locus_tag=FA898_RS00190] [protein=A/G-specific adenine glycosylase] [protein_id=WP_048942499.1] [location=43356..44492] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000143215.1_36 [locus_tag=SPNHU17_RS00210] [protein=HNH endonuclease] [protein_id=WP_000143215.1] [location=33514..33831] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003670233.1_36 [locus_tag=MC195_RS00195] [db_xref=GeneID:66584935] [protein=Rne/Rng family ribonuclease] [protein_id=WP_003670233.1] [location=complement(42975..46469)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_136428991.1_37 [locus_tag=FA898_RS00195] [protein=oxidative damage protection protein] [protein_id=WP_136428991.1] [location=44470..44742] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000601030.1_37 [locus_tag=SPNHU17_RS00215] [protein=hypothetical protein] [protein_id=WP_000601030.1] [location=33968..34453] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003670232.1_37 [locus_tag=MC195_RS00200] [db_xref=GeneID:66584936] [protein=RluA family pseudouridine synthase] [protein_id=WP_003670232.1] [location=47238..48386] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_136428992.1_38 [gene=mltC] [locus_tag=FA898_RS00200] [protein=membrane-bound lytic murein transglycosylase MltC] [protein_id=WP_136428992.1] [location=44757..45830] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000230006.1_38 [locus_tag=SPNHU17_RS00220] [protein=terminase] [protein_id=WP_000230006.1] [location=34446..36158] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003660952.1_38 [gene=ppx] [locus_tag=MC195_RS00205] [db_xref=GeneID:66584937] [protein=exopolyphosphatase] [protein_id=WP_003660952.1] [location=48495..50045] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648472.1_39 [locus_tag=FA898_RS00215] [protein=metallophosphoesterase] [protein_id=WP_005648472.1] [location=complement(46442..47122)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_001812652.1_39 [locus_tag=SPNHU17_RS00225] [protein=phage portal protein] [protein_id=WP_001812652.1] [location=36167..37309] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003657031.1_39 [locus_tag=MC195_RS00210] [db_xref=GeneID:66584938] [protein=acetyl-CoA carboxylase carboxyltransferase subunit alpha] [protein_id=WP_003657031.1] [location=50180..50977] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005666220.1_40 [gene=nadR] [locus_tag=FA898_RS00220] [protein=multifunctional transcriptional regulator/nicotinamide-nucleotide adenylyltransferase/ribosylnicotinamide kinase NadR] [protein_id=WP_005666220.1] [location=complement(47119..48342)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000413203.1_40 [locus_tag=SPNHU17_RS00230] [protein=HK97 family phage prohead protease] [protein_id=WP_000413203.1] [location=37356..37898] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_081569696.1_40 [gene=tilS] [locus_tag=MC195_RS00215] [db_xref=GeneID:66584939] [protein=tRNA lysidine(34) synthetase TilS] [protein_id=WP_081569696.1] [location=51072..52427] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648467.1_41 [locus_tag=FA898_RS00225] [protein=3,4-dihydroxy-2-butanone-4-phosphate synthase] [protein_id=WP_005648467.1] [location=48603..49250] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000855224.1_41 [locus_tag=SPNHU17_RS00235] [protein=phage major capsid protein] [protein_id=WP_000855224.1] [location=37913..39166] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_081569697.1_41 [locus_tag=MC195_RS00220] [db_xref=GeneID:66584940] [protein=pyrroline-5-carboxylate reductase] [protein_id=WP_081569697.1] [location=52554..53399] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_075985436.1_42 [locus_tag=FA898_RS00230] [protein=glycosyltransferase family 25 protein] [protein_id=WP_075985436.1] [location=49300..50136] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000154006.1_42 [locus_tag=SPNHU17_RS00240] [protein=hypothetical protein] [protein_id=WP_000154006.1] [location=39192..39527] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003657027.1_42 [locus_tag=MC195_RS00225] [db_xref=GeneID:66584941] [protein=YggT family protein] [protein_id=WP_003657027.1] [location=53435..53998] [gbkey=CDS]
